,축제명,개최장소,축제시작일자,축제종료일자,축제내용,주최기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도
93,제13회 남한강축제,법천소공원,2023-07-29,2023-07-30,문화예술공연+노래자랑 등,남한강축제위원회,033-737-5630,,,강원도 원주시 부론면 앙암로 1234,강원도 원주시 법천리 1575-1,37.20602239,127.7482249
94,치악산찰옥수수축제,문막체육공원,2023-07-01,2023-07-01,지역 옥수수 판매 및 농특산물 직거래장터 운영 등,문막농업협동조합,033-737-1164,,,,강원도 원주시 문막읍 문막리 329-45,37.3087155,127.8115249
95,치악산복숭아축제,댄싱공연장 일원,2023-08-01,2023-08-01,지역 복숭아 판매+품평회+기타 등,치악산복숭아 원주시협의회,033-737-4131,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614
96,2023 원주 댄싱카니발,댄싱공연장 일원,2023-09-22,2023-09-24,댄싱경연+문화예술공연+각종 체험 등,강원도 원주시청,033-737-5123,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614
97,원주삼토페스티벌,종합운동장 일원,2023-09-14,2023-09-17,농촌문화체험+지역먹거리 판매 등,강원도 원주시청+원주시농업인단체연합회,033-737-4155,,,강원도 원주시 서원대로 311,강원도 원주시 명륜동 342,37.3368381,127.943687
98,치악산한우축제,댄싱공연장 주차장,2023-10-01,2023-10-01,지역 한우 판매 등,농업기술센터 축산과,033-737-4195,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614
99,원주 독서대전,시립중앙도서관,2023-10-01,2023-10-01,학술토론+전시체험 등,평생교육원 시립중앙 도서관,033-737-3817,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614
100,원주 평생학습 축제,원주문화원 일원,2023-10-06,2023-10-07,개막식+공연+전시+체험 등,원주시 평생교육원 학습관,033-737-3808,www.wonju.go.kr,,강원도 원주시 원일로 139,강원도 원주시 일산동 211,37.3515851,127.9467947
113,2023년 제15회 대한민국 청소년 트로트 가요제,스포츠파크 일원,2023-05-20,2023-05-20,청소년 트로트 가요제 결선,(사)한국예술문화단체총연합회 거창지회,055-943-0123,,,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332
114,계양산국악제,계산체육공원+계양문화회관,2023-04-21,2023-04-22,국악경연대회(예선 : 온라인심사+결선 : 대면심사)+축하·기획·특별공연(온오프병행),인천광역시 계양구청,032-450-5874,,,인천광역시 계양구 주부토로 570,,37.545044,126.728998
115,장미꽃 필(feel)무렵,이곡장미공원,2023-05-19,2023-05-21,움직이는 포토존 + 장미꽃 홍보단 + 장미 시화전 + 체험 프로그램 운영,(재)달서문화재단,053-584-9771,http://www.dscf.or.kr,,,대구광역시 달서구 이곡동 1306-6,35.85779894,128.5147832
180,구로G페스티벌,서울특별시 구로구 안양천,2023-10-06,2023-10-08,구민이 주체가 되어 자발적으로 참여하는 구로구민을 위한 비대면 축제,서울특별시 구로구청,02-860-2282,www.gfestival.co.kr,,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435,37.49551123,126.8882891
181,여수동동북축제,용기공원 및 선소일원,2023-10-21,2023-10-22,북퍼레이드+아티스트공연+북전시및체험행사+경연대회,전라남도 여수시청,061-659-4743,http://www.yeosu.go.kr/dongdong,,전라남도 여수시 소호로 606,전라남도 여수시 학동 201,34.75590207,127.6572796
182,청년거리문화축제,여수시 일원,2023-04-01,2023-12-31,거리공연+프리마켓 등,전라남도 여수시청,061-659-4745,,,전라남도 여수시 시청로 1,전라남도 여수시 학동 100,34.76014841,127.661568
184,연천구석기축제,연천전곡리유적,2023-05-04,2023-05-07,선사문화체험+전시+이벤트,경기도 연천군청,031-839-2378,https://www.yeoncheon.go.kr/festival/,,경기도 연천군 전곡읍 양연로 1510,경기도 연천군 전곡읍 전곡리 515,38.01564838,127.0614526
185,동해무릉제,동해웰빙레포츠타운,2023-09-22,2023-09-24,개막식+퍼레이드+공연행사+체험행사+동대항 민속경기+민속예술시연,강원특별자치도 동해시청,033-530-2111,,,강원특별자치도 동해시 덕골길 10,강원특별자치도 동해시 천곡동 363-1,37.51606095,129.1021986
186,천만송이 국화축제,중앙체육공원,2023-10-21,2023-10-30,국화축제,전라북도 익산시청,063-859-4977,https://www.iksan.go.kr/gukhwa/index.iksan,국화전시+국화우수작품전시+농산물판매장+체험장,전라북도 익산시 하나로 322,,35.94972951,126.9861274
187,삼강주막나루터축제,삼강문화단지,2023-09-29,2023-10-01,K-세일즈맨의 하루+보부상운동회,경상북도 예천군,054-650-6031,https://www.ycg.kr/open.content/samgang/,,경상북도 예천군 풍양면 삼강리길 33,경상북도 예천군 풍양면 삼강리 117-2,36.5638688,128.2992955
190,2023년 부처님 오신 날 연등축제,거창군청 앞 문화광장,2023-05-06,2023-05-27,부처님 오신 날 연등 점등식,(사)거창불교사암연합회,055-940-3413,,,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332
256,거문도백도은빛바다체험행사,삼산면 거문도 일원,2023-08-04,2022-08-05,길놀이+은빛가요제+맨손활어잡기+지인망끌기체험,전라남도 여수시청,061-659-4743,,,전라남도 여수시 삼산면 거문길 28-10,전라남도 여수시 삼산면 거문리 111-35,34.02575979,127.311945
257,여수밤바다 불꽃축제,이순신 광장 및 장군도 앞 해상,2023-10-28,2023-10-28,공연행사+불꽃쇼+불꽃사진콘테스트,전라남도 여수시청,061-659-4742,https://www.yeosu.go.kr/ysff,,,전라남도 여수시 중앙동 385-6,34.7388016,127.7366067
258,여수향일암일출기원한마당,돌산읍 임포마을 일원,2023-12-31,2024-01-01,재야의종타종식+일출기원제례+소망행사,전라남도 여수시청,061-659-4743,,,전라남도 여수시 향일암로 60 종무소,전라남도 여수시 돌산읍 율림리 산7,34.59379448,127.8029861
265,인천펜타포트 음악축제,송도달빛축제공원,2023-08-04,2023-08-06,국내·외 아티스트 콘서트,인천광역시청,,https://pentaport.co.kr/,,인천광역시 연수구 센트럴로 350,,0.0,0.0
266,인천생활문화축제,"내항1,8부두",2023-10-14,2023-10-14,생활문화동아리 공연·체험·전시,인천광역시청,,,,인천광역시 중구 내항로 67,,0.0,0.0
267,섬마을밴드 음악축제,"강화,옹진 일원",2023-05-01,2023-10-31,섬마을 음악동호회 공연,인천광역시청,,,,인천광역시 중구 제물량로 195,,0.0,0.0
268,동인천 낭만시장,동인천역 북광장,2023-11-04,2023-11-05,1970년대 번성했던 동인천의 재현 및 지역상인과 연계한 축제,인천광역시청,,http://www.romancemarket.co.kr/,,,인천광역시 동구 송현동(동인천역 북광장),0.0,0.0
269,제17회 영등포 여의도 봄꽃축제,여의서로 벚꽃길,2023-04-04,2023-04-09,"벚꽃축제, 공연/전시/체험, 아트/푸드마켓 등","영등포구청, 영등포문화재단",02-2670-3128,blossom.or.kr,,서울특별시 영등포구 의사당대로 1,서울특별시 영등포구 여의도동 1,37.5329136,126.9164036
270,제4회 연제고분판타지축제,온천천시민공원 및 연산동 고분군,2023-03-31,2023-04-02,역사문화행사,연제구축제추진위원회,051-665-4065,,,,부산광역시 연제구 거제동 1466-24,35.19588064,129.082826
271,2023 유성온천문화축제,온천로 일원,2023-05-12,2023-05-14,"온천수신제,체험부스운영,축하공연 등",대전광역시 유성구 문화관광과,042-611-2080,,,대전광역시 유성구 어은로 27,대전광역시 유성구 봉명동 496-39,0.0,0.0
273,현인가요제,송도해수욕장,2023-08-04,2023-08-06,개막행사+현인가요제 전야제+현인가요제 본선,(사)한국연예예술인협회,02-2655-3157,http://culture.bsseogu.go.kr,송도해수욕장+부산공동어시장+송도구름산책로+송도해상케이블카+용궁구름다리+암남공원,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502
274,치악산왕발걸음축제,치악산 일원(구.드림랜드 주차장),2023-09-09,2023-09-09,걷기행사+작은음악회 등,치악산왕발걸음축제추진위원회,033-734-5966,,,강원도 원주시 소초면 평장동길 86-16,강원도 원주시 소초면 평장리 823-7,37.4186377,128.0031734
275,제25회 원주한지문화제,원주한지테마파크 일원,2023-05-05,2023-05-14,기획전시+온라인체험 등,한지개발원,033-734-4739,www.hanjipark.com,,강원도 원주시 한지공원길 151,강원도 원주시 무실동 16,37.3343755,127.9353957
276,제16회 용수골꽃양귀비축제,용수골꽃농장,2023-05-23,2023-06-11,꽃밭관람+포토존 이용+기념품 판매 등,용수골꽃양귀비축제추진위원회,033-764-4443,,,강원도 원주시 한지공원길 151,강원도 원주시 판부면 서곡리 1632-2,37.3343755,127.9353957
277,제21회 장미축제,장미공원,2023-05-30,2023-06-01,장미가요제 등,장미축제위원회,033-000-0000,,,강원도 원주시 장미공원길 67-16,강원도 원주시 단계동 853-3,37.34588179,127.9311849
281,용인어린이상상의숲 특별 행사 <상상해봄>(가칭),용인어린이상상의숲,2023-04-01,2023-04-01,새학기와 봄을 맞이하여 상상의 숲이 준비한 어린이들과 가족 대상의 특별 행사,용인문화재단,031-323-6346,www.yicf.or.kr,,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 28-6,37.24962344,127.1651613
282,제20회 사상전통달집놀이,삼락생태공원,2023-02-05,2023-02-05,정월대보름행사,부산광역시 사상구청,051-310-4062,http://www.sasangculture.or.kr/,,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397
283,제20회 사상강변축제,삼락생태공원,2023-10-21,2023-10-22,사상강변축제,부산광역시 사상구청,051-310-4062,http://www.sasangculture.or.kr/,,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397
284,제18회 충청남도 국악제,아산시평생학습관,2023-07-23,2023-07-23,충청남도 내 국악협회 경연대회,(사)한국국악협회충남지회,041-835-7200,,,충청남도 아산시 남부로92,충청남도 아산시 용화동 423-6,36.77090939,126.9921619
285,제2회 아트밸리 아산 오페라 갈라콘서트,경찰인재개발원 차일혁홀,2023-12-16,2023-12-26,오페라 갈라콘서트,충청남도 아산시,041-1422-4200,,,충청남도 아산시 무궁화로111,충청남도 아산시 초사동407,36.74527663,126.9890582
286,아트밸리 아산 락 페스티벌,신정호야외음악당+수영장,2023-08-11,2023-08-13,인천 펜타포트 락페스티벌의 아티스트를 공유하여 아산에서 펼쳐지는 락페스티벌,충청남도 아산시,041-530-6672,,,충청남도 아산시 무궁화로111,충청남도 아산시 초사동407,36.74527663,126.9890582
287,아트밸리 아산 별빛음악제,신정호야외음악당,2023-08-14,2023-08-14,신정호에서 펼쳐지는 한여름밤의 ?L,충청남도 아산시,041-530-6672,,,충청남도 아산시 무궁화로111,충청남도 아산시 초사동407,36.74527663,126.9890582
288,제18회 파주개성인삼축제,임진각 광장,2023-10-21,2023-10-22,파주개성인삼 전시 및 판매+농특산물 홍보 및 판매+각종 공연 및 체험행사 등,경기도 파주시청,031-940-5282,http://tour.paju.go.kr,,경기도 파주시 문산읍 임진각로 177,경기도 파주시 문산읍 마정리 1325-1,37.88953876,126.7401859
289,제27회 파주장단콩축제,임진각 광장,2023-11-24,2023-11-26,파주장단콩 전시 및 판매+농특산물 홍보 및 판매+각종 공연 및 체험행사 등,경기도 파주시청,031-940-5282,http://tour.paju.go.kr,,경기도 파주시 문산읍 임진각로 177,경기도 파주시 문산읍 마정리 1325-1,37.88953876,126.7401859
290,제33회 율곡문화제,율곡이이유적지 등,2023-10-14,2023-10-15,추향제+방방례+유가행렬 등,경기도 파주시청,031-940-4351,http://tour.paju.go.kr,,경기도 파주시 법원읍 자운서원로 204,경기도 파주시 법원읍 동문리 17-4,37.866127,126.8709854
291,2023 운정호수공원불꽃축제,운정호수공원,2023-10-07,2023-10-07,불꽃쇼+빛 조형물 등,경기도 파주시청,031-940-4351,,,,경기도 파주시 와동동 1412,37.72338983,126.7563252
292,2023 양주 천만송이 천일홍 축제,나리농원 일원,2023-09-23,2023-09-24,전국 최대 규모의 천일홍 꽃밭 조성으로 도농체험 및 시민 힐링 공간 제공,경기도 양주시청,031-8082-5655,https://www.yangju.go.kr/festival/index.do,,경기도 양주시 광사로 131-66,경기도 양주시 광사동 731,37.785795,127.081833
293,제35회 고양행주문화제,행주산성 및 행주산성 역사공원,2023-05-19,2023-05-21,행주투석전+뮤지컬행주대첩+불꽃드론쇼+수상불꽃놀이+대첩마을 테마존+일로지움 전시 등,경기도 고양시청,031-960-9684,http://www.hjfestival.or.kr,,경기도 고양시 덕양구 행주로 15번길 89,경기도 고양시 덕양구 행주내동 산26-1,37.59610775,126.8287118
294,2023 고양호수예술축제,일산호수공원+일산문화광장+라페스타+웨스턴돔,2023-10-06,2023-10-09,국내외 거리예술공연 및 시민참여프로그램,경기도 고양시청,031-960-9684,http://www.gylaf.kr,,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,37.65384593,126.7687814
295,제5회 인제가을꽃축제,용대관광지 일원,2023-09-22,2023-10-22,가을꽃축제,인제군문화재단,1577-8924,https://www.inje.go.kr,https://www.inje.go.kr,,강원도 인제군 북면 용대리 1821-1 일원,37.99772638,128.098499
302,영산강 서창들녁 억새축제,영산강(극락교~서창교 3.5km)일원,2023-10-13,2023-10-22,공식행사+걷기행사+생태환경콘서트+억새생태포토존+체험행사 등,광주광역시 서구,062-350-4792,https://www.seogu.gwangju.kr/sgfesta/,,광주광역시 서구 서창둑길 377,광주광역시 서구 벽진동 505-1,35.13849306,126.8287574
303,양동통맥축제,양동전통시장 6번도로 일원,2023-04-07,2023-10-28,통닭판매부스+상설공연+버스킹무대 등,(재)광주경제고용진흥원,062-360-7683,,,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 2-1,35.15390267,126.9025537
304,최계란 선생 대구아리랑제,불로봉무동 일원,2023-10-01,2023-10-01,공연+먹거리 부스 운영,불로봉무동 주민자치위원회,053-662-2172,,,대구광역시 동구 팔공로50길 66,,35.92195919,128.6501799
305,용암산성 옥샘문화재,불로천 다목적광장,2023-10-10,2023-10-10,옥천제+사생대회+끼페스티벌+문화행사,도평동주민자치위원회,053-662-3801,,,대구광역시 동구 팔공로24길 171,,35.9099747,128.6501287
306,구민화합 어울림한마당,율하체육공원,2023-10-15,2023-10-15,무대공연+체육행사,대구광역시 동구청,053-662-4073,,,대구광역시 동구 금호강변로 278,,35.85992537,128.6928379
307,생거진천 문화축제,충청북도 진천군 진천읍 백곡천 둔치 일원,2023-10-06,2023-10-08,문화예술공연+민속경기+군민가요제,진천문화원,043-539-3602,http://www.jincheon.go.kr,진천종박물관+진천군립판화미술관+포석 조명희문학관+길상사+농다리,충청북도 진천군 진천읍 백사천길 17,충청북도 진천군 진천읍 읍내리 209-9,36.86152209,127.4420392
308,농다리 축제,충청북도 진천군 문백면 농다리 일원,2023-05-26,2023-05-28,문화예술공연+견지 낚시 대회+관련 체험 프로그램,진천문화원,043-539-3602,http://www.jincheon.go.kr,진천종박물관+진천군립판화미술관+포석 조명희문학관+길상사+농다리,,충청북도 진천군 문백면 구곡리 601-32,36.8286135,127.4946879
309,휴애리 봄 수국축제,휴애리,2023-04-07,2023-06-14,2023 휴애리 봄 수국축제는 정성스럽게 키운 다양한 수국을 온실 수국정원 카페주변등 공원 곳곳에서 감상할 수 있어 제주도민과 상춘객에게 인기가 좋은 제주 대표 봄 축제가 될 것으로 전망된다.,휴애리자연생활공원,064-732-2114,www.hueree.com,,제주특별자치도 서귀포시 남원읍 신례동로 256,,33.3085451,126.6343808
339,응봉산 해맞이 축제,응봉산 팔각정,2023-01-01,2023-01-01,매년 새해를 맞이하여 구의 명소인 응봉산 팔각정에서 성동구의 발전과 구민건강을 기원하고 새로운 다짐과 희망을 나누는 행사,서울특별시 성동구청,02-2286-5202,,,,서울특별시 성동구 금호동4가 1540,37.54709188,127.0291913
341,2023 제25회 제주들불축제,새별오름 및 제주시 일원,2023-03-09,2023-03-12,희망을 품은 제주들불 세계를 밝히다,제주특별자치도 제주시,064-728-2752,https://www.jejusi.go.kr/buriburi/main.do,,제주특별자치도 제주시 애월읍 화전길 201,,33.3482653,126.3856578
342,전농로 왕벚꽃 축제,제주시 전농로 일대,2023-03-24,2023-03-26,4년 만에 도심 전농로에서 왕벚꽃 축제가 개최됩니다.,제주특별자치도 제주시,064-728-4524,,,제주특별자치도 제주시 전농로 40 삼도1동행정복지센터,,33.5041441,126.5173684
343,제5회 애월읍 왕벚꽃 축제,애월읍 장전리 왕벚꽃거리,2023-03-25,2023-03-26,제주의 왕벚꽃 명소에서 즐기는 축제,제주특별자치도 제주시 애월읍,064-728-8811,,,제주특별자치도 제주시 애월읍 장전로 106 장전리사무소,,33.4506034,126.3891021
344,서귀포 유채꽃 국제걷기대회,제주월드컵경기장 광장,2023-03-25,2023-03-26,세계인이 함께 걷는 제주의 봄,제주특별자치도 서귀포시,064-760-3320,www.jejusta.or.kr,,제주특별자치도 서귀포시 월드컵로 33,,33.24626,126.5092753
345,제27회 제주국제관광마라톤축제,구좌종합운동장,2023-05-21,2023-05-21,제주의 파란 바닷빛과 함께~ 천혜의 자연 에너지를 만끽할 수 있는 제주국제관광마라톤축제 아름다운 제주 바닷길을 함께 달려보자,제주특별자치도,064-741-8772,www.jejumarathon.com/,,제주특별자치도 제주시 구좌읍 김녕로 209,,33.55518546,126.762746
346,2023 서귀포 유채꽃축제,표선면 가시리 유채꽃 광장 일대,2023-03-31,2023-04-02,화사한 봄꽃들이 만발한 봄날 3~4월 경에 열리는 2023 서귀포 유채꽃축제,제주특별자치도 서귀포시,064-760-3942,https://www.seogwipo.go.kr/festivals/uchae/index.htm,,제주특별자치도 서귀포시 표선면 녹산로 381-15,,33.3830788,126.7362847
347,제12회 우도소라축제,천진항 및 우도면 일원,2023-04-14,2023-04-16,섬속의 섬 힐링 우도에서 모두가 소통하는 친환경 열린축제,제주특별자치도 제주시 우도면,064-728-4321,,,제주특별자치도 제주시 우도면 우도해안길 70,,33.4928045,126.9515414
348,한라산청정고사리축제,남원읍 한남리 산76-7 일원,2023-04-29,2023-04-30,축제로 즐기는 제주 고사리의 명성,제주특별자치도 서귀포시 남원읍,064-760-4182,www.jejugosari.net/,,제주특별자치도 서귀포시 남원읍 서성로 788,,33.3300573,126.6773386
349,가파도청보리축제,가파도 일원,2023-04-08,2023-04-16,가파도의 청보리는 국토 최남단의 땅끝에서 가장 먼저 전해오는 봄소식으로 3월 초부터 5월 초순까지 보리잎의 푸른 생명이 절정을 이루며 해마다 봄이 되면 18만여평의 청보리밭 위로 푸른 물결이 굽이치는 장관을 이룬다.,가파도청보리축제위원회,064-794-7130,http://wonderfulis.co.kr/,,제주특별자치도 서귀포시 대정읍 가파로 2,,33.1662259,126.2689356
350,강정마을 생태축제,서귀포시 강정동 강정천 일대,2023-05-05,2023-05-07,사시사철 맑은 물이 흐르는 강정천 일대에서 즐기는 다양한 생태체험과 캠핑경험,강정마을회,000-0000-0000,www.강정마을생태축제.com,,제주특별자치도 서귀포시 이어도로 668,,33.2337406,126.4875172
351,제주MBC 국제평화마라톤,한림종합운동장,2023-03-26,2023-03-26,새 봄과 함께 2023 제주MBC 국제평화마라톤 대회,제주문화방송,064-748-9021,http://marathon.jejumbc.com/index.php,,제주특별자치도 제주시 한림읍 한림중앙로 71-9,,33.40969184,126.2685441
352,2023 제주 고산리 유적 선사축제,제주 고산리 유적,2023-04-28,2023-04-30,제5회 GoGo 제주고산리유적 선사축제,제주특별자치도 세계유산본부,064-772-0041,https://jejugogohak.tistory.com/,,제주특별자치도 제주시 한경면 노을해안로 1100,,33.3041632,126.1661787
353,휴애리 유채꽃 축제,휴애리,2023-01-01,2023-03-31,2023 휴애리 유채꽃축제는 서귀포시 남원읍 신례리에 위치한 휴애리의 새로운 축제이다. 이번 휴애리 유채꽃축제에는 정성스럽게 키운 유채꽃 4000평 밭에서 직접 감상할 수 있다.,휴애리자연생활공원,064-732-2114,www.hueree.com,,제주특별자치도 서귀포시 남원읍 신례동로 256,,33.3085451,126.6343808
354,2023 안양충훈벚꽃축제,안양충훈2교일대,2023-04-08,2023-04-09,벚꽃콘서트+ 버스킹공연+ 벚꽃체험부스+ 푸드트럭&먹거리+ 벚꽃컬러링북+ SNS이벤트 등,안양시+안양충훈벚꽃축제추진위원회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.40461526,126.8961574
355,2023 관악어린이가족축제_관악봄봄,별빛내린천,2023-05-20,2023-05-20,공연_전시 및 체험 프로그램_플리마켓_부스 운영 등,서울특별시 관악구청+관악문화재단,02-828-5825,https://gfac.or.kr/,,서울특별시 관악구 신림로 3길 35,서울특별시 관악구 신림동 209-1,37.46759765,126.9448709
356,2023 GIG Festival,별빛내린천,2023-07-01,2023-07-02,모든 장르의 스트릿 댄스 배틀_댄스 워크숍_플리마켓_전시 등 다양한 스트릿 문화를 통해 청년뿐만 아니라 중장년층까지 모두가 댄서가 되어 즐길 수 있는 스트릿댄스 축제,서울특별시 관악구청,02-828-5764,https://gfac.or.kr/,,서울특별시 관악구 신림로 3길 35,서울특별시 관악구 신림동 209-1,37.46759765,126.9448709
357,2023 어린이동화페스티벌,관악문화재단 어린이라운지,2023-08-26,2023-08-26,소방관마술쇼_동화구연_인형극 등 다양한 어린이 전문 프로그램 운영,관악문화재단,02-828-5829,https://lib.gwanak.go.kr/,,서울특별시 관악구 신림로 3길 35,서울특별시 관악구 신림동 209-1,37.46759765,126.9448709
373,INK 콘서트,인천문학경기장 주경기장,2023-09-09,2023-09-09,국내 정상급 K-POP 아티스트의 온.오프라인 콘서트,인천광역시청,,,,인천광역시 미추홀구 매소홀로 618,,0.0,0.0
388,동래읍성역사축제,동래문화회관+읍성광장+온천장 일원,2023-10-13,2023-10-15,동래부사행차길놀이+동래성저전투재현 뮤지컬+동래세가닥줄다리기+동래장터 체험 등,부산광역시 동래구청,051-550-4094,https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,,부산광역시 동래구 문화로 80(명륜동),부산광역시 동래구 명륜동 137,35.21195069,129.090546
389,영천보현산별빛축제,보현산천문과학관 일원,2023-10-07,2023-10-09,천문·우주·과학 관련 온오프라인 콘텐츠 운영+천문학 강의+스타파티+각종 참여 프로그램 등,영천보현산별빛축제위원회,054-330-6702,http://영천보현산별빛축제.com,보현산천문대,경상북도 영천시 화북면 별빛로 681-32,경상북도 영천시 화북면 정각리 689,36.1402561,128.9964736
393,2023 자유공원 벚꽃축제,자유공원,2023-04-08,2023-04-08,봄꽃음악회+먹거리장터 등,(재)인천중구문화재단,032-777-9113,http://www.ijcf.or.kr/,,인천광역시 중구 제물량로232번길 46,,0.0,0.0
394,2023 가족의 달 어린이축제,한중문화관+영종역사관,2023-05-06,2023-05-07,공연+전시+체험 프로그램 등,(재)인천중구문화재단,032-777-9113,http://www.ijcf.or.kr/,,인천광역시 중구 제물량로 238,,0.0,0.0
395,나비대축제,함평엑스포공원 및 함평읍시가지 제2무대 일원,2023-04-28,2023-05-07,"봄을 여는 소리, 함평나비대축제(부제 : 똑똑똑 나비야 일어나 봄이야)",전라남도 함평군+함평축제관광재단,061-320-2238,https://www.hpftf.or.kr/,"꽃+나비+곤충을 소재로 한 전시+문화+체험행사+나비+곤충을 소재로 각종 체험프로그램 운영, 친환경 농ㆍ수ㆍ축산물 및 우수 특산품 등 전시, 판매",전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056
407,여주도자기축제,여주 신륵사관광지 일원,2023-05-19,2023-05-29,"여주 도자기 전시 및 판매, 공연 등",경기도 여주시청,031-881-9693,www.yjcf.or.kr,신륵사 명성황후생가 영릉 황학산수목원 등,경기도 여주시 신륵사길 7,경기도 여주시 천송동 303-3,0.0,0.0
408,제21회어방축제,광안리해변일원,2023-05-12,2023-05-14,광안리어방축제,부산광역시 수영구청,051-610-4062,suyeong.go.kr/festival,,부산광역시 수영구 남천동로100,부산광역시 수영구 남천동148-15,35.14537016,129.1123694
