,축제명,개최장소,축제시작일자,축제종료일자,축제내용,주최기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도
452,제23회 서귀포 겨울바다 국제펭귄수영대회,중문색달해수욕장 (중문관광단지 내),2023-01-01,2023-01-01,2023 새로운 출발 새로운 다짐,제주특별자치도 서귀포시,064-739-7201,https://seogwipo.go.kr/festivals/penguinswimming/info/intro.htm,,,제주특별자치도 서귀포시 색달동 3304-1,33.24523114,126.4080834
455,2023 유성재즈 맥주페스타,유림공원 동편 잔디광장,2023-08-18,2023-08-20,"수제맥주 시음, 재즈뮤지션 공연, 피크닉존 구성 등",대전광역시 유성구 문화관광과,042-611-2080,,,대전광역시 유성구 어은로 22,대전광역시 유성구 봉명동 1013-1,0.0,0.0
456,2023 부소산 봄 나들이 축제,"관북리 유적, 부소산성 일원",2023-05-05,2023-05-07,공연·경연·체험+감성피크닉+경관조성 등,충청남도 부여군,041-830-2823,,,,충청남도 부여군 부여읍 구아리 46-5,36.28516562,126.910939
457,제21회 부여서동연꽃축제,서동공원(궁남지 일원),2023-07-13,2023-07-16,경관조성+공연·경연·체험 등,충청남도 부여군,041-830-2209,http://lotusfestival.kr/,,,충청남도 부여군 부여읍 동남리 117,36.2696766,126.912263
458,2023 백제문화제,"구드래, 신리, 관북리 유적 등 부여군 일원",2023-09-23,2023-10-09,제례·불전+퍼레이드+전시·체험+공연+경연 등,충청남도+충청남도 부여군+충청남도 공주시,041-830-2208,https://www.baekje.org/kor/,,충청남도 부여군 부여읍 백강로 135,충청남도 부여군 부여읍 구교리 15-3,36.28711682,126.9048787
459,탐라국 입춘굿,관덕정 일원,2023-02-02,2023-02-04,입춘굿+거리굿+춘경문굿+소원지 쓰기 등,제주특별자치도 제주시청 문화예술과,,,,제주특별자치도 제주시 관덕로 19,,0.0,0.0
473,제13회 성남 전국 사진촬영대회,촬영대회: 성남시청 광장 일원+전시: 성남아트리움 갤러리,2023-04-08,2023-06-30,사진촬영+전시,(사)한국예총 성남지회,031-753-1020,https://www.cas.or.kr,사진 촬영 및 작품전시,"경기도 성남시 수정구 수정로171번길 10, 성남아트리움 지하1층",경기도 성남시 수정구 태평동 3309,0.0,0.0
474,문화와 예술이 어울어지는 미니콘서트,성남시 일원,2023-04-08,2023-10-24,문화예술 공연을 접하기 어려운 시민들을 찾아가 콘서트 개최,(사)한국예총 성남지회,031-753-1020,https://www.cas.or.kr,2023. 4. 8. 부터 10.14. 까지 총 20회에 걸쳐 성남시 관내 공연,"경기도 성남시 수정구 수정로171번길 10, 성남아트리움 지하1층",경기도 성남시 수정구 태평동 3309,0.0,0.0
475,2023년 청계산 힐링 빛 축제,성남시 수정구 상적도 옛골마을 일대,2023-04-28,2023-04-28,조명을 활용한 힐링길 달빛정원+부대행사(이벤트)+먹거리+문화공연 등,청계산상권 상인회,,,,경기도 성남시 수정구 옛골로 18,,0.0,0.0
476,제17회 청계산 철쭉축제,성남시 수정구 상적동 270+271+281,2023-05-06,2023-05-06,성남시민의 화합을 위한 축제,청계산 철쭉축제 추진위원회,,,,경기도 성남시 수정구 청계산로4길 17-12,경기도 성남시 수정구 고등동 613-2,0.0,0.0
477,전통산사문화재,원효사 일원,2023-02-01,2023-12-31,원효사일대 체험 프로그램,문화재청+광주광역시 북구청+광주광역시,062-410-8369,,,광주광역시 북구 무등로 1514-35,광주광역시 북구 금곡동 846,35.14863464,126.985744
491,부산불꽃축제,광안리해변,2023-11-04,2023-11-04,해외초청 불꽃쇼+첨단멀티 불꽃쇼,부산광역시청,051-888-5222,http://www.bfo.or.kr/main/index.asp,광안대교,부산광역시 수영구 광안해변로 219,부산광역시 수영구 광안동 192-16,35.15377357,129.1185161
492,이천도자기축제,이천시 신둔면 예스파크,2023-04-26,2023-05-07,도자기전시+체험,경기도 이천시,031-636-2200,http://www.ceramic.or.kr,예스파크(이천도자예술마을) +사기막골도예촌+월전미술관+이천세라피아+이천시립박물관+미란다호텔스파+테르메덴,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686
494,체험문화축제,예스파크,2023-04-08,2023-04-09,음식만들기+공예체험+스포츠 놀이체험,경기도 이천시,031-636-2723,http://www.2000green.com,예스파크+이천농촌나드리,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686
502,예산황토사과축제,예산역전시장,2023-10-28,2023-10-29,예산황토사과의 우수성 홍보,예산능금농업협동조합,041-339-7317,http://yesan-apple.co.kr/,,충청남도 예산군 예산읍 역전로 61-4,,0.0,0.0
506,아트밸리 아산 제2회 공연예술제,신정호야외음악당,2023-05-21,2023-05-21,공연예술인 페스티벌,충청남도 아산시,041-530-6222,,,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.77152141,126.9839152
507,아트밸리 아산 제1회 국제민족무용대회,신정호 야외음악당,2023-09-09,2023-09-10,국제민족무용경연대회,충청남도 아산시,041-530-6222,,,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.77152141,126.9839152
508,아트밸리 아산 제5회 전국 주부가요제,신정호 야외음악당,2023-09-03,2023-09-03,전국주부가요제,충청남도 아산시,041-530-6222,,,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.77152141,126.9839152
509,아트밸리 아산 제1회 아산온천 벚꽃축제,아산온천 일원,2023-04-08,2023-04-08,지역예술단체 및 전문 예술가들의 공연 전시홍보·프로그램체험·먹거리 등 다양한 부스 운영,충청남도 아산시,041-540-2068,,,,충청남도 아산시 음봉면 신수리 292-6,36.853764,126.982333
510,설화예술제,신정호 야외음악당(또는 온양온천역),2023-10-01,2023-10-31,개폐막식 지역예술인창작발표 공연 및 전시,충청남도 아산시,041-540-2087,,,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.77152141,126.9839152
511,아트밸리 아산 제1회 외국인 K-트롯 가요제,신정호야외음악당,2023-09-02,2023-09-02,아산시의 많은 다문화가정과 외국인들의 화합의 장 마련,충청남도 아산시,041-530-6315,,,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.77152141,126.9839152
512,아트밸리 아산 재즈Festa,신정호야외음악당,2023-10-07,2023-10-09,아산에서 다양한 음악을 즐길 수 있는 브랜드 네이밍 및 아산시 홍보,충청남도 아산시,041-530-6315,,,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.77152141,126.9839152
513,뮤지컬 순회공연(영웅),신정호야외음악당,2023-08-15,2023-08-15,유명 뮤지컬을 아산에서 시연함으로써 외부 관람객 유치를 통해 아산시 홍보 및 지역경제 활성화 도모,충청남도 아산시,041-530-6315,,,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.77152141,126.9839152
558,제15회 향수옥천 포도·복숭아 축제,옥천공설운동장 일원,2023-07-28,2022-07-30,개막 축하음악회+농·특산물 판매장 등,충청북도 옥천군청,043-730-3262,,,충청북도 옥천군 옥천읍 관성로 53,충청북도 옥천군 옥천읍 문정리 390,36.30307359,127.5758071
559,제36회 지용제,지용생가 및 상계체육공원 등 구읍 일원,2023-09-07,2022-09-10,지용문학상 시상식+시노래콘서트+향수콘서트+지용백일장 등,충청북도 옥천군청·옥천문화원,043-730-3403,,,충청북도 옥천군 옥천읍 매동로 209,충청북도 옥천군 옥천읍 상계리 14-2,36.31880041,127.5827071
560,예산장터삼국축제,예산전통시장내 백종원거리 일원,2023-10-13,2023-10-19,"예산의 국화, 국밥, 국수의 맛과 멋을 찾아 예산장터로 떠나는 가을여행축제",충청남도 예산군청,041-339-7317,https://yesansamguk.kr/,,충청남도 예산군 예산읍 천변로 160,충청남도 예산군 예산읍 대회리 233-4,36.67611933,126.8479256
561,의좋은형제축제,의좋은 형제공원 일원,2023-11-04,2023-11-05,예산의 실존인물인 이성만·이순형제와 함께 떠나는 가족여행,대흥현보존회,041-339-7317,https://gbfesta.kr/,,충청남도 예산군 대흥면 의좋은형제길 3,충청남도 예산군 대흥면 상중리 274-1,36.60652823,126.7921951
562,윤봉길평화축제,예산군 덕산면 충의사,2023-04-29,2023-04-30,"윤봉길의사의 상해의거 기념행사, 전시·체험행사, 온라인이벤트",(사)매헌윤봉길월진회,041-339-7317,http://www.ybgfestival.net/,,,충청남도 예산군 덕산면 시량리 산40-1,0.0,0.0
563,제24회 용전들노래 정기공연,용전동 용전마을 일원,2023-07-01,2023-07-31,용전들노래재현+체험마당 공연 등,광주광역시 북구청,062-410-8369,https://bukgu.gwangju.kr/board.es?mid=a10201110000&bid=0315,,광주광역시 북구 용전마을길 42(용전동),광주광역시 북구 용전동 171-3,35.23893658,126.8973084
564,왕버들기원제,충효동 일원,2023-11-16,2023-11-16,왕버들기원제,광주광역시 북구청,062-410-6616,https://bukgu.gwangju.kr/board.es?mid=a10201110000&bid=0315,,,광주광역시 북구 충효동 911,35.18482092,127.000917
565,생생문화재,충효동 일원,2023-03-01,2023-12-31,지역문화재활용 체험프로그램(김덕령장군),문화재청+광주광역시 북구청+광주광역시,062-410-8369,http://www.munhwahouse.or.kr/bbs/board.php?bo_table=bch_program&sca=생생문화재,,,광주광역시 북구 충효동 911,35.18482092,127.000917
576,부산시민의종 타종식,용두산공원,2023-12-31,2024-01-01,시민의종 타종+문화공연,부산광역시청,051-888-5224,http://www.bfo.or.kr/main/index.asp,용두산공원,부산광역시 중구 용두산길 37-55(광복동2가),부산광역시 중구 동광동2가 17-6,35.10093242,129.0324385
577,부산국제록페스티벌,삼락생태공원,2023-10-07,2023-10-08,록밴드 초청공연 등,부산광역시청,051-888-5221,http://www.bfo.or.kr/main/index.asp,삼락생태공원,부산광역시 사상구 낙동대로 1231,부산광역시 사상구 삼락동 617-3,35.17001086,128.9765693
580,제5회 대청호 벚꽃축제,대전광역시 동구 신상동 282번지 일원,2023-04-07,2023-04-09,벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등,대전광역시 동구청,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,,대전광역시 동구 신상동 282,36.35359044,127.4980431
581,구시청나이트페스티벌,아시아음식문화지구,2023-07-14,2023-07-15,아시아+음식+문화를 주제로 한 상설축제 4회 개최,광주광역시 동구,062-608-2413,,,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,35.1461414,126.9230951
582,구시청나이트페스티벌,아시아음식문화지구,2023-09-22,2023-09-23,아시아+음식+문화를 주제로 한 상설축제 4회 개최,광주광역시 동구,062-608-2413,,,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,35.1461414,126.9230951
583,2023 광주문화재야행,재명석등+광주읍성유허 등,2023-06-16,2023-06-17,문화재를 활용한 야간문화 향유 프로그램 운영,광주광역시 동구,062-608-2403,http://www.gjnight.com,,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,35.1461414,126.9230951
584,제20회 광주 추억의 충장축제,5.18민주광장 및 국립아시아문화전당+충장로+금남로+예술의 거리 등 광주 일원,2023-10-05,2023-10-09,공식행사+퍼레이드+전시+공연+체험+국제교류행사 등,광주광역시 동구,062-608-4673,http://www.donggu.kr/index.es?sid=c8,,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,35.1461414,126.9230951
597,울산대공원 장미축제,울산대공원 장미원,2023-05-24,2023-05-28,대한민국 최고의 장미원에서 펼쳐지는 울산대공원 장미축제,SK이노베이션,052-229-3341,http://ulsanrosefestival.com,,,울산광역시 남구 옥동 산138,35.52889099,129.2881058
630,제5회 진안고원 가족공동체 김장문화축제,진안고원시장,2023-11-18,2023-11-19,우리집 김치담그기+사랑의 김장나눔 등,전라북도 진안군,063-430-2393,https://www.jinan.go.kr/festival/,,전라북도 진안군 진안읍 시장길 8-17,전라북도 진안군 진안읍 군상리 406-8,35.79268309,127.4284281
632,제27회 무주반딧불축제,무주군 일원,2023-09-02,2023-09-10,환경탐사+체험 판매 등 상설행사+문화예술행사,전라북도 무주군청,063-320-2537,http://firefly.or.kr/index2.sgk,반디랜드+태권도원+한풍루,전라북도 무주군 무주읍 한풍루로 326-14,전라북도 무주군 무주읍 당산리 1118,36.00262216,127.6614905
633,2023 대구앞산축제(제28회 대덕제),남구구민체육광장,2023-05-05,2023-05-06,앞산을 배경으로 다양한 체험프로그램과 문화예술 공연이 있는 주민화합 축제,대구광역시 남구,053-664-3262,,,대구광역시 남구 고산4길 71,대구광역시 남구 봉덕동 1272-1,35.83229037,128.6004362
634,여수영취산진달래체험행사,영취산일원 및 흥국사 산림공원,2023-04-01,2023-04-02,산신제+진달래백일장+사생대회+체험행사,전라남도 여수시청,061-659-4744,http://yeosujindalrae.co.kr/,,전라남도 여수시 흥국사길 160,전라남도 여수시 중흥동 17,34.82281621,127.7016059
635,여수거북선축제,이순신광장 및 선소일원,2023-05-04,2023-05-07,통제영길놀이+개막행사+각종체험공연행사,전라남도 여수시청,061-659-4743,www.jinnamje.com,,전라남도 여수시 이순신광장로 95,전라남도 여수시 중앙동 385-6번지 등,34.73922445,127.7365808
636,여수여자만갯벌노을체험행사,소라면 해넘이길 일원(사곡),2023-09-16,2023-09-17,대나무망둥어낚시+개매기+바지락캐기+맨손고기잡이+가족사랑걷기체험+노을가요제,전라남도 여수시청,061-659-4744,,,전라남도 여수시 소라면 서부로 785-24,,34.7902433,127.5679754
649,대관령눈꽃축제,대관령면 횡계리 송천일원,2023-01-13,2023-01-22,눈조각전시+눈썰매체험,강원도 평창군청,033-335-3995,http://www.snowfestival.net,,강원도 평창군 대관령면 사부랑길224-2,강원도 평창군 대관령면 횡계리 661,37.70493356,128.7017723
663,제20회 강북구 3·1독립운동 기념행사,서울특별시 강북구 우이동 봉황각 및 만남의 광장,2023-03-01,2023-03-01,"기념식, 공연 및 체험 프로그램",서울특별시 강북구청,02-901-6203,www.gangbuk.go.kr,,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,37.66019851,127.0060603
664,4.19혁명 국민문화제,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,2023-04-08,2023-04-19,4.19혁명 기념+국민문화제,4.19 3개단체+서울특별시 강북구청,02-901-6205,www.festival419.org/,,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,37.63918553,127.0254518
665,종교연합바자회,서울특별시 강북구 한신대신학대학원,2023-10-07,2023-10-07,종교연합 바자회 기증물품 판매+문화공연 수익금전액 난치병어린이돕기 후원,서울특별시 강북구 관내 3종교연합,02-901-6204,www.gangbuk.go.kr,,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 498-16,37.6350142,127.0129382
667,낙동강유채꽃축제,대저생태공원,2023-04-08,2023-04-16,축제취소,부산광역시청,051-888-5221,http://www.bfo.or.kr/main/index.asp,대저생태공원,부산광역시 강서구 공항로 1246(대저1동),부산광역시 강서구 대저1동 2314-11,35.20985086,128.9845591
668,부산원도심골목길축제,동구+영도구(예정),2023-05-20,2023-05-21,테마별 체험 프로그램 등,부산광역시청,051-888-5221,http://www.bfo.or.kr/main/index.asp,"원도심(동구, 영도구) 일원",부산광역시 중구 중구로 120(대청동1가),부산광역시 중구 대청동1가 1-4,35.10619736,129.0323514
732,선사문화체험축제,한샘청동공원,2023-05-12,2023-05-13,선사테마축제 및 체험프로그램 운영 등,달서구문화원,053-667-2194,http://artko16.netto.kr/,,,대구광역시 달서구 대천동 353-5,35.81951349,128.5187423
733,동대문구 봄꽃축제,중랑천 제1체육공원 및 장안벚꽃로,2023-04-01,2023-04-02,봄철 동대문구의 대표적인 축제+축하공연+체험프로그램,서울특별시 동대문구청,02-2127-4711,,,서울시 동대문구 천호대로 145,,0.0,0.0
734,제6회의성슈퍼푸드마늘축제,의성종합운동장+읍내 시가지 일원 및 남대천,2023-10-06,2023-10-08,의성 특산물 마늘을 활용한 요리대회+마늘주제관 등 다채로운 프로그램 운영,의성군축제추진위원회,054-830-6578,http://www.garlicfestival.co.kr,,경상북도 의성군 의성읍 군청길 31,경상북도 의성군 의성읍 후죽리 509-2,36.35290408,128.6972464
735,제1회남대천벚꽃축제,남대천일원,2023-04-08,2023-04-09,버스킹+플리마켓 중심의 벚꽃축제,경상북도 의성군청,054-830-6578,,,,경상북도 의성군 의성읍 후죽리 774-18,36.34921729,128.6915824
736,봉래산발복기원제,봉래산 헬기장,2023-06-11,2023-06-11,개회식+기원제+길놀이+의식공연+음복례 등,봉래산발복기원제추진위원회,051-419-5722,http://www.yeongdo.go.kr/main.web,,부산광역시 영도구 벚꽃길 1,부산광역시 영도구 청학동 산54-4,35.08646003,129.0590783
737,영도다리축제,아미르공원+영도일원+영도다리축제유튜브채널,2023-10-13,2023-10-15,개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등,부산광역시 영도구청,051-419-4064,http://www.yeongdo.go.kr/ydfestival.web,,부산광역시 영도구 해양로 301번길 55,부산광역시 영도구 동삼동 1165,35.07714964,129.0820078
738,영도커피페스티벌,아미르공원,2023-11-03,2023-11-05,개막주제공연+축하공연+체험행사 등,부산광역시 영도구청,051-419-6332,https://www.yeongdo.go.kr/yd_coffee_festival.web,,부산광역시 영도구 해양로 301번길 55,부산광역시 영도구 동삼동 1165,35.07714964,129.0820078
739,2023 정조대왕 능행차 공동재현,서울 창덕궁~수원화성~화성 융릉,2023-10-08,2023-10-09,1795년 정조대왕의 을묘년 원행을 완벽하게 재현하는 국내 최대 퍼레이드,경기도 수원시,031-228-2367,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944
740,제60회 수원화성문화제,행궁광장 등 수원화성 일원,2023-10-07,2023-10-09,정조대왕의 효심과 부국강병의 원대한 꿈으로 축성된 세계문화유산 수원화성에서 펼쳐지는 3일간의 행사,경기도 수원시,031-228-3068,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944
741,2023 세계유산축전 수원화성,장안공원 등 수원화성 일원,2023-09-23,2023-10-14,세계유산의 가치를 향유 및 확산하기 위해 세계기록유산인 의궤와 세계문화유산인 수원화성을 활용한 공연 및 프로그램 등 행사 운영,경기도 수원시,031-228-2454,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944
742,2023 수원화성 미디어아트,창룡문 · 연무대 일원,2023-10-06,2023-10-29,수원화성 대표 건축물에 프로젝션 맵핑/인터렉티브 미디어아트/레이저 등 디지털 미디어 기술을 활용한 미디어아트쇼,경기도 수원시,031-228-3084,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.2818782,127.0143876
743,2023 수원음식문화박람회,수원,2023-10-07,2023-10-09,"전국요리경연대회, 국제자매도시조리사초청전 동시개최로 수원의 맛과 멋을 알리는 수원만의 특색있는 음식문화박람회",경기도 수원시,031-228-2233,,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.2818782,127.0143876
744,제18회 광릉숲축제,남양주시 광릉숲 일원,2023-09-23,2023-09-24,광릉숲길 걷기+숲속공연+환경경 체험프로그램 운영 등,경기도 남양주시,031-590-2454,,,경기도 남양주시 진접읍 봉선사길 32,경기도 남양주시 진접읍 부평리 255번지,37.7463984,127.1836293
765,선덕여왕 숭모재,부인사 숭모전,2023-05-04,2023-05-04,숭모재 의식 및 국악공연+전시 등 문화행사,대한불교조계종 부인사,,,,대구광역시 동구 팔공산로 967-28,,35.99490611,128.6739767
766,안심창조밸리 연꽃마을 축제,안심창조밸리 일원,2023-08-12,2023-08-15,연꽃길 힐링걷기대회+관련 문화행사,안심창조밸리 주민협의체,053-964-2901,,,,대구광역시 동구 괴전동 401-2,35.869549,128.735308
767,팔공산 왕건축제,동화천 생태하천 둔치,2023-09-16,2023-09-16,왕건관련 체험프로그램+동화천 걷기대회행사+무대행사,공산동 주민자치위원회,053-662-3981,,,,대구광역시 동구 지묘동 1220-19,35.942676,128.6426741
771,울산고래축제,고래문화특구,2023-05-11,2023-05-14,고래테마 체험+공연+행사 등,고래문화재단,052-226-1992,http://www.ulsanwhale.com/index.jsp,고래퍼레이드+수상 퍼포먼스+댕댕이 동문회+뮤지컬+다양한 공연+부대행사 등,울산광역시 남구 장생포고래로 244,울산광역시 남구 매암동 139-29,35.5027598,129.3807994
779,홍성한우바비큐페스티벌,홍주읍성 일원,2023-10-20,2023-10-22,한우바비큐 관련 체험 및 판매,(재)홍주문화관광재단,041-634-8707,https://hongju.or.kr/home/content.do?menu_cd=000064,홍주읍성,충청남도 홍성군 홍성읍 아문길 27,충청남도 홍성군 홍성읍 오관리 98,36.60172104,126.6613892
781,의령 홍의장군축제,서동생활공원 등 관내 일원,2023-04-20,2023-04-23,의병정신을 공감 공유하고 나라사랑 정신을 계승하고 기리는 축제 / 추모제향+혼불안치+개막식+전국의병주제관+의병출정퍼레이드+의병체험 등,(사)의병기념사업회,055-573-1100,www.의병제전.kr,,경상남도 의령군 의령읍 의병로24길 31-1,,0.0,0.0
782,의령 리치리치 페스티벌,서동생활공원 등 관내 일원,2023-10-06,2023-10-09,개막식+메인프로그램+상설프로그램등,의령 리치리치 페스티벌 추진위원회,055-570-2512,www.uiryeong.go.kr/richrichfestival,,경상남도 의령군 의령읍 의병로8길 44,,0.0,0.0
783,의령 신번문화축제,부림면 일원,2023-09-15,2023-09-17,"천년을 이어온 한지의 본고장이자 악성 우륵과 가야금의 탄생지인 부림면(옛 성열현)에서 의령의 대표적인 전통문화인 한지와 가야금을 주제로 체험, 전시, 공연 등 다양한 문화행사와 함께 전국가야금경연대회가 개최되는 세대공감형 축제",경상남도 의령군,055-570-2504,,,경상남도 의령군 의령읍 충익로63,,0.0,0.0
784,봉화은어축제,경상북도 봉화군 봉화읍 내성천 일원,2023-07-29,2023-08-06,은어반두잡이+맨손잡이 체험 등,경상북도 봉화군청,054-674-3053,https://bhftf.co.kr:8091/,분천산타마을+봉화은어축제,,경상북도 봉화군 봉화읍 내성리 506,36.89039738,128.7379707
785,봉화송이축제,경상북도 봉화군 봉화읍 내성천 일원,2023-09-21,2023-09-24,송이채취+시식회 등,경상북도 봉화군청,054-674-3053,https://bhftf.co.kr:8091/,분천산타마을+봉화송이축제,,경상북도 봉화군 봉화읍 내성리 506,36.89039738,128.7379707
817,금산삼계탕축제,금산인삼관 광장 일원,2023-07-07,2023-07-09,ㅇ삼계탕 사연 공모+먹방 콘테스트+라이브 커머스+쉐프 요리쇼+삼계탕 요리경연대회+대형 가마솥 요리 시연+가족 단위 물놀이 행사 등,충청남도 금산군,041-750-2303,http://www.insamfestival.co.kr/,,충청남도 금산군 금산읍 인삼광장로 30,충청남도 금산군 금산읍 신대리 392,36.1000256,127.5007304
818,강서 낙동강30리 벚꽃축제(2023년),대저생태공원,2023-03-31,2023-04-02,벚꽃길 걷기대회/체험행사/문화행사,부산광역시 강서구청,051-970-4062,http://www.bsgangseo.go.kr,,,부산광역시 강서구 대저1동 1-17,35.20933921,128.9865079
819,자라섬 국제재즈페스티벌,가평읍 읍내리 자라섬 일대,2023-10-07,2023-10-09,재즈공연+전시 및 체험+먹거리,(사)자라섬청소년재즈센터,031-581-2813,http://www.jarasumjazz.com/,남이섬+쁘띠프랑스+아침고요수목원,경기도 가평군 가평읍 자라섬로 60,경기도 가평군 가평읍 달전리 산7,37.8208975,127.5210451
820,대한민국 국향대전,함평엑스포공원,2023-10-21,2023-11-06,"K-문화, 함평 국화에 담다",전라남도 함평군+함평축제관광재단,061-320-2238,https://www.hpftf.or.kr/,풍요로운 가을 정취와 어우러지는 다양한 국화전시 및 체험,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056
830,용인어린이상상의숲 가을특별행사 온 가족이 함께하는 <상상북크닉>,용인어린이상상의숲,2023-09-23,2023-09-23,"9월 ’독서의 달’ 기념, 어린이와 가족이 책을 쉽고 재미있게 접할 수 있는 독서문화 프로그램 운영",용인문화재단,031-323-6500,www.yicf.or.kr,,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 28-6,37.24962344,127.1651613
